data,fonte,quantidade,status
2023-12-08T00:00:00,A,1,ERRO
2023-12-06T00:00:00,A,2,ERRO
2023-12-20T00:00:00,A,1,ERRO
2023-12-07T00:00:00,A,1,ERRO
2023-12-15T00:00:00,A,1,ERRO
2023-12-13T00:00:00,A,1,ERRO
2023-12-16T00:00:00,A,1,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-12T00:00:00,A,3,ERRO
2023-12-18T00:00:00,A,2,ERRO
2023-12-05T00:00:00,A,3,ERRO
2023-12-19T00:00:00,A,4,ERRO
2023-12-23T00:00:00,A,4,ERRO
2023-12-09T00:00:00,A,1,ERRO
2023-12-14T00:00:00,A,1,ERRO
2023-12-19T00:00:00,A,1,ERRO
2023-12-01T00:00:00,A,1,ERRO
2023-12-06T00:00:00,A,2,ERRO
2023-12-26T00:00:00,A,1,ERRO
2023-12-27T00:00:00,A,2,ERRO
2023-12-05T00:00:00,A,3,ERRO
2023-12-02T00:00:00,A,2,ERRO
2023-12-15T00:00:00,A,3,ERRO
2023-12-04T00:00:00,A,3,ERRO
2023-12-20T00:00:00,A,4,ERRO
2023-12-13T00:00:00,A,4,ERRO
2023-12-01T00:00:00,A,1088,ERRO
2023-12-09T00:00:00,A,1,ERRO
2023-12-04T00:00:00,A,1,ERRO
2023-12-18T00:00:00,A,1,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-15T00:00:00,A,1,ERRO
2023-12-11T00:00:00,A,1,ERRO
2023-12-20T00:00:00,A,1,ERRO
2023-12-01T00:00:00,A,1,ERRO
2023-12-23T00:00:00,A,1,ERRO
2023-12-20T00:00:00,A,1,ERRO
2023-12-31T00:00:00,A,1,ERRO
2023-12-27T00:00:00,A,1,ERRO
2023-12-04T00:00:00,A,4,ERRO
2023-12-06T00:00:00,A,1,ERRO
2023-12-11T00:00:00,A,1,ERRO
2023-12-18T00:00:00,A,3,ERRO
2023-12-05T00:00:00,A,2,ERRO
2023-12-31T00:00:00,A,2,ERRO
2023-12-16T00:00:00,A,2,ERRO
2023-12-24T00:00:00,A,2,ERRO
2023-12-13T00:00:00,A,2,ERRO
2023-12-06T00:00:00,A,2,ERRO
2023-12-14T00:00:00,A,3,ERRO
2023-12-08T00:00:00,A,3,ERRO
2023-12-12T00:00:00,A,9,ERRO
2023-12-02T00:00:00,A,4,ERRO
2023-12-30T00:00:00,A,3,ERRO
